"docid"	"segmentid"	"text"	"ANNOTATOR1"	"ANNOTATOR2"	"MERGED"
"masc_news_20000415_apw_eng-NEW.txt"	"0"	"Ohio Congressman Arrives in Jordan"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"1"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"2"	"AMMAN, Jordan (AP)"	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"3"	"U.S. Representative Tony Hall arrived in Jordan onSaturday en route to Iraq,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"4"	"where he is expected to look into the plight of Iraqis after nearly 10 years of U.N. trade sanctions."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"5"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"6"	"Hall, an Ohio Democrat and one of very few U.S. congressmen to visitIraq since the 1991 Gulf War over Kuwait, is scheduled to embark Sunday the 12-hour overland trip to the Iraqi capital, Baghdad."	"STATIVE"	"DYNAMIC"	"BOTH"
"masc_news_20000415_apw_eng-NEW.txt"	"7"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"8"	"He did not speak to reporters in Jordan,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"9"	"but he told The AssociatedPress before leaving the United States"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"10"	"that he hopes to ""separate the humanitarian work from the political issues."""	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"11"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"12"	"During his four days in Iraq, Hall said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"13"	"he wanted to investigatereports from relief agencies"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"14"	"that a quarter of Iraqi children may be suffering from chronic malnutrition."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"15"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"16"	"He said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"17"	"he would pay particular attention to what happens to food andmedicine"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"18"	"entering the country under the U.N. oil-for-food program."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"19"	"If supplies are not reaching the people"	"DYNAMIC"	"STATIVE"	"BOTH"
"masc_news_20000415_apw_eng-NEW.txt"	"20"	"who need them,"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"21"	"Hall said,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"22"	"he wanted to find out"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"23"	"whether the United Nations or relief agencies needed to handle things differently,"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"24"	"or whether ""Iraq needs to get out of the way"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000415_apw_eng-NEW.txt"	"25"	"and let us do the job."""	"DYNAMIC"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"26"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"27"	"The Iraqi government blames the embargo for the malnutrition, infantmortality and other hardships."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"28"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"29"	"The sanctions cannot be lifted"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"30"	"until U.N. inspectors certify"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"31"	"that Iraqhas eliminated its weapons of mass destruction and the means to produce them."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"32"	"Iraq says"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"33"	"it has done so"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"34"	"and has barred inspectors since late 1998."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"35"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000415_apw_eng-NEW.txt"	"36"	"At least one other congressman has visited Iraq."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000415_apw_eng-NEW.txt"	"37"	"Energy Secretary BillRichardson went to Baghdad in 1995 while a representative for New Mexico."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"0"	"Lawmaker Appeals for Innocent Iraqis"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"1"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"2"	"By HASSAN ABDULWAHAB, Associated Press Writer BASRA, Iraq (AP)"	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"3"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"4"	"A U.S. lawmaker assessing the impact of U.N. sanctions on Iraq saidWednesday"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"5"	"it is important not only to force Baghdad to give up its weapons of mass destruction"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000419_apw_eng-NEW.txt"	"6"	"but also to do more to ease the hardships on ordinary Iraqis."	"STATIVE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"7"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"8"	"Rep. Tony Hall, D-Ohio, did not call for a lifting of sanctions imposedon Iraq for its 1990 invasion of Kuwait,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"9"	"but said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"10"	"the United Nations should make sure"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"11"	"that sanctions do not hurt innocent Iraqis."	"STATIVE"	"DYNAMIC"	"BOTH"
"masc_news_20000419_apw_eng-NEW.txt"	"12"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"13"	"""It was very, very important"" to compel Iraq to rid itself of weaponsof mass destruction"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000419_apw_eng-NEW.txt"	"14"	"so that ""it cannot use or export them to other countries,"""	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"15"	"he told Associated Press Television News."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"16"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"17"	"But he insisted"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"18"	"the international community can do a much better job inhelping Iraq deal with its economic and health problems."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"19"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"20"	"One way would be to speed up the flow of health supplies and otherurgent commodities to the country under a U.N. humanitarian program,"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000419_apw_eng-NEW.txt"	"21"	"he said."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"22"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000419_apw_eng-NEW.txt"	"23"	"Iraq says the United States and Britain"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"24"	"hold up delivery of neededsupplies,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"25"	"using their clout in the United Nations."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"26"	"The U.S. government says"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"27"	"it wants to ensure"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000419_apw_eng-NEW.txt"	"28"	"that Iraq is not buying items"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000419_apw_eng-NEW.txt"	"29"	"that appear to be humanitarian in nature"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000419_apw_eng-NEW.txt"	"30"	"but that could be used for making weapons."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000424_nyt-NEW.txt"	"0"	"IRAQ-POVERTY (Washington)"	"NONE"	"NONE"	"NONE"
"masc_news_20000424_nyt-NEW.txt"	"1"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000424_nyt-NEW.txt"	"2"	"Rep. Tony Hall, D-Ohio, urges the United Nations to allow a freer flowof food and medicine into Iraq."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000424_nyt-NEW.txt"	"3"	"Hall, who recently returned from a trip to Iraq,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000424_nyt-NEW.txt"	"4"	"said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000424_nyt-NEW.txt"	"5"	"U.N. economic sanctions have hurt millions of civilians there."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000424_nyt-NEW.txt"	"6"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000424_nyt-NEW.txt"	"7"	"By AUSTIN ZALKIN."	"NONE"	"NONE"	"NONE"
"masc_news_20020731-nyt_part1.txt"	"0"	"SENATE ETHICS PANEL ADMONISHES NEW JERSEY SENATOR FOR CONDUCT RELATED TO GIFTS"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"1"	""	"NONE"	"NONE"	"NONE"
"masc_news_20020731-nyt_part1.txt"	"2"	"WASHINGTON"	"NONE"	"NONE"	"NONE"
"masc_news_20020731-nyt_part1.txt"	"3"	""	"NONE"	"NONE"	"NONE"
"masc_news_20020731-nyt_part1.txt"	"4"	"The Senate Ethics Committee on Tuesday night ""severely admonished"" Sen. Robert G. Torricelli, D-N.J.,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"5"	"saying"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"6"	"he had violated Senate rules by accepting and failing to disclose expensive gifts from a former contributor to whom he repeatedly gave help."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"7"	"On the basis of thousands of pages of information developed in an earlier federal inquiry into Torricelli's activities, the committee chastised him for using poor judgment"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"8"	"and disregarding Senate rules in his dealings with the former donor, David Chang."	"DYNAMIC"	"NONE"	"NONE"
"masc_news_20020731-nyt_part1.txt"	"9"	"""Your actions and failure to act led to violations of Senate rules"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"10"	"(and related statutes) and created at least the appearance of impropriety,"""	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"11"	"the three Democrats and three Republicans on the committee said in a three-page letter to Torricelli."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"12"	"The ethics panel also ordered Torricelli to pay back Chang -- with interest -- for the full value of a large-screen television set and compact-disc player, and for expensive earrings"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"13"	"that Chang gave to Torricelli's sister, to one of his close aides and to one of Torricelli's former girlfriends."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"14"	"The committee's action comes"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"15"	"six months after federal prosecutors ended a lengthy criminal investigation into Torricelli's activities"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"16"	"without filing criminal charges."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"17"	"The ethics panel, to which evidence from the criminal case was forwarded,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"18"	"concluded its review"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"19"	"just as Torricelli is gearing up his campaign for re-election against the Republican candidate, Douglas R. Forrester."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"20"	"After months in which polls showed Torricelli well ahead of his relatively unknown Republican rival, the contest has narrowed in recent weeks."	"STATIVE"	"DYNAMIC"	"BOTH"
"masc_news_20020731-nyt_part1.txt"	"21"	"It was the first time"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"22"	"that the Senate Ethics Committee had voted to take action against a senator since 1995,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"23"	"when it recommended"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"24"	"that Bob Packwood, an Oregon Republican, be expelled on the ground of sexual and official misconduct."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"25"	"Packwood later resigned."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"26"	"Sen. Daniel K. Inouye, D-Hawaii, who led the ethics inquiry,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"27"	"said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"28"	"he believed"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"29"	"the investigation was thorough and fair"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"30"	"but would not offer a detailed description of the committee's secret deliberations."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"31"	"""The document speaks for itself,"""	"STATIVE"	"DYNAMIC"	"BOTH"
"masc_news_20020731-nyt_part1.txt"	"32"	"said Inouye,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"33"	"who said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"34"	"that he considered the matter closed with the letter."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"35"	"Within minutes after the committee released its letter publicly, Torricelli took the Senate floor Tuesday night to apologize to the people of New Jersey for allowing his seat in the chamber"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"36"	"""to be placed in this position."""	"NONE"	"NONE"	"NONE"
"masc_news_20020731-nyt_part1.txt"	"37"	"During nearly seven hours of sworn testimony last week before the members and staff of the ethics panel, Torricelli said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"38"	"that he had not taken any gifts from Chang,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"39"	"and that what items he had accepted from the businessman"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"40"	"he had later paid Chang for,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"41"	"one person familiar with his account said."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"42"	"Torricelli also insisted"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"43"	"that he had not done any unusual favors for Chang,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"44"	"who first turned to the senator in 1995 for help in winning the repayment of some $71 million"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"45"	"he said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"46"	"he was then owed in a failed business deal with the North Korean government."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"47"	"The Ethics Committee was unconvinced."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"48"	"In its letter, which was signed by all six members,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"49"	"the panel wrote"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"50"	"that it was ""troubled by incongruities, inconsistencies and conflicts,"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"51"	"particularly concerning actions taken by you"	"DYNAMIC"	"STATIVE"	"BOTH"
"masc_news_20020731-nyt_part1.txt"	"52"	"which were"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"53"	"or could have been of potential benefit to Chang."""	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"54"	"The committee criticized Torricelli for maintaining a ""personal and official relationship with Chang under circumstances"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"55"	"where you knew"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"56"	"that he was attempting to ingratiate himself, in part through a pattern of attempts to provide you and those around you with gifts over a period of several years."""	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"57"	"During that time, the panel said,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"58"	"Torricelli and members of his Senate staff took a series of actions to help Chang,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"59"	"contacting U.S. government officials,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"60"	"writing letters to foreign government officials"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"61"	"and bringing Chang or his business representatives into meetings with foreign officials."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"62"	"The committee did not confirm some of the most serious allegations,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"63"	"including Chang's claim"	"NONE"	"STATIVE"	"NONE"
"masc_news_20020731-nyt_part1.txt"	"64"	"that he gave Torricelli tens of thousands of dollars in cash."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"65"	"The committee said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"66"	"it had weighed the fact"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"67"	"that Torricelli's principal accuser in the case had been Chang, ""a witness"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"68"	"whose credibility has been called into question by the Department of Justice, a United States District judge and his own conduct."""	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"69"	"In May, that judge sentenced sentenced Chang to 18 months' imprisonment for obstructing justice"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"70"	"and making $53,700 in illegal campaign contributions to Torricelli's 1996 Senate campaign."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"71"	"But at the time of Chang's sentencing, the judge, Alfred M. Wolin, also said"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"72"	"the businessman had cooperated closely with federal investigators,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"73"	"providing them with information"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"74"	"that was ""material and credible."""	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"75"	"The ethics committee has the power to punish lawmakers with sanctions"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"76"	"ranging from public or private letters of admonition to censure or expulsion."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20020731-nyt_part1.txt"	"77"	"In Torricelli's case, it acted"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"78"	"without conducting a full investigation,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"79"	"saying"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"80"	"the case had been exhaustively scrutinized by federal authorities."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"81"	"A lawyer for Chang, Bradley D. Simon, said Tuesday night"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20020731-nyt_part1.txt"	"82"	"that he was disappointed"	"STATIVE"	"STATIVE"	"STATIVE"
